domain,item_key,source_layer,source_location,classification,eligible,canonical_item,exclusion_reason,candidate_for_sig_discovery,candidate_for_join_discovery,current_join_policy_role,current_sig_policy_role,current_policy_required,current_policy_optional,current_policy_excluded,observed_record_count,observed_ok_count,observed_missing_count,observed_unreadable_count
arrowheads,arrowhead.arrow_closed,identity,domains/arrowheads.py:180,semantic_candidate,true,,,true,true,optional,,false,true,false,0,0,0,0
arrowheads,arrowhead.arrow_style_display,identity,domains/arrowheads.py:504,display_alias,false,arrowhead.style,alias_of:arrowhead.style,false,false,,,false,false,false,0,0,0,0
arrowheads,arrowhead.arrow_style_raw_int,identity,domains/arrowheads.py:503,raw_alias,false,arrowhead.style,alias_of:arrowhead.style,false,false,,,false,false,false,0,0,0,0
arrowheads,arrowhead.fill_tick,identity,domains/arrowheads.py:179,semantic_candidate,true,,,true,true,optional,,false,true,false,0,0,0,0
arrowheads,arrowhead.heavy_end_pen_weight,identity,domains/arrowheads.py:193,semantic_candidate,true,,,true,true,optional,,false,true,false,0,0,0,0
arrowheads,arrowhead.name,identity,domains/arrowheads.py:668,semantic_candidate,true,,,true,true,excluded,,false,false,true,0,0,0,0
arrowheads,arrowhead.record_class,phase2.unknown,domains/arrowheads.py:638,routing_metadata,false,,"Extractor-derived style bucket retained for partitioning and diagnostics, not definition identity",false,false,,,false,false,false,0,0,0,0
arrowheads,arrowhead.source_element_id,phase2.unknown,domains/arrowheads.py:633,traceability_identifier,false,,File-local Revit ElementId emitted for source traceability; not portable configuration identity,false,false,,,false,false,false,0,0,0,0
arrowheads,arrowhead.source_unique_id,phase2.unknown,domains/arrowheads.py:634,traceability_identifier,false,,Revit UniqueId emitted for source traceability; not portable configuration identity,false,false,,,false,false,false,0,0,0,0
arrowheads,arrowhead.style,identity,domains/arrowheads.py:163,semantic_candidate,true,,,true,true,required,required,true,false,false,0,0,0,0
arrowheads,arrowhead.tick_mark_centered,identity,domains/arrowheads.py:192,semantic_candidate,true,,,true,true,optional,,false,true,false,0,0,0,0
arrowheads,arrowhead.tick_size_in,identity,domains/arrowheads.py:164,semantic_candidate,true,,,true,true,required,required,true,false,false,0,0,0,0
arrowheads,arrowhead.width_angle_deg,identity,domains/arrowheads.py:178,semantic_candidate,true,,,true,true,optional,,false,true,false,0,0,0,0
browser_organization,bo.category,identity,domains/browser_organization.py:383,semantic_candidate,true,,,true,true,required,required,true,false,false,0,0,0,0
browser_organization,bo.family_name,identity,domains/browser_organization.py:387,semantic_candidate,true,,,true,true,excluded,,false,false,true,0,0,0,0
browser_organization,bo.filter_has_value,identity,domains/browser_organization.py:386,semantic_candidate,true,,,true,true,optional,,false,true,false,0,0,0,0
browser_organization,bo.org_id,identity,domains/browser_organization.py:388,semantic_candidate,true,,,true,true,excluded,,false,false,true,0,0,0,0
browser_organization,bo.sorting_order,identity,domains/browser_organization.py:384,semantic_candidate,true,,,true,true,optional,required,true,true,false,0,0,0,0
browser_organization,bo.sorting_parameter_id,identity,domains/browser_organization.py:385,semantic_candidate,true,,,true,true,optional,required,true,true,false,0,0,0,0
browser_organization,bo.unique_id,identity,domains/browser_organization.py:389,semantic_candidate,true,,,true,true,excluded,,false,false,true,0,0,0,0
browser_organization,bo.workset_id,identity,domains/browser_organization.py:390,semantic_candidate,true,,,true,true,excluded,,false,false,true,0,0,0,0
