class,method,confidence_tier,dll_verified_status,revitlookup_referenced,requires_doc_context,evidence,source_url,arity,is_static,return_type_confirmed,mutates_state,notes
Element,GetTypeId,core,signature_verified_declared,,,member name 'GetTypeId' matches keyword pattern /^(Type|TypeId|GetTypeId)$/,https://www.revitapidocs.com/2025/cc66ca8e-302e-f072-edca-d847bcf14c86.htm,zero-arg,instance,Evidence made no explicit return-type claim (name-pattern match only). Ground-truth return type: ElementId.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public ElementId GetTypeId ()` Remarks: Some elements cannot have type assigned, in which case this method returns invalid element id."
BrowserOrganization,GetFolderItems,needs_validation,signature_verified_declared,,,return type 'IList < FolderItemInfo >' is a generic collection whose element type cannot be statically confirmed as reference-bearing,https://www.revitapidocs.com/2025/6d61981d-4d9c-477c-a85a-6ae375bc8cfc.htm,1-arg -- ElementId elementId,instance,Matches evidence. Ground-truth return type: IList < FolderItemInfo >.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public IList < FolderItemInfo > GetFolderItems ( ElementId elementId )` Documented exceptions: Exception Condition ArgumentException elementId is not a valid Element identifier. ArgumentNullException A non-optional argument was null Remarks: Each returned FolderItemInfo includes the folder name and the corresponding folder parameter Id."
CompoundStructure,GetLayers,needs_validation,signature_verified_declared,,,return type 'IList < CompoundStructureLayer >' is a generic collection whose element type cannot be statically confirmed as reference-bearing,https://www.revitapidocs.com/2025/105b59e9-9cea-1988-a5a7-cc9cde49145c.htm,zero-arg,instance,Matches evidence. Ground-truth return type: IList < CompoundStructureLayer >.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public IList < CompoundStructureLayer > GetLayers ()`"
CompoundStructure,GetWallSweepsInfo,needs_validation,signature_verified_declared,,,return type 'IList < WallSweepInfo >' is a generic collection whose element type cannot be statically confirmed as reference-bearing,https://www.revitapidocs.com/2025/f8140797-a9ac-234b-cb54-5a1c56ce45bf.htm,1-arg -- WallSweepType wallSweepType,instance,Matches evidence. Ground-truth return type: IList < WallSweepInfo >.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public IList < WallSweepInfo > GetWallSweepsInfo ( WallSweepType wallSweepType )` Documented exceptions: Exception Condition ArgumentOutOfRangeException A value passed for an enumeration argument is not a member of that enumeration"
Element,GetEntitySchemaGuids,needs_validation,signature_verified_declared,,,return type 'IList < Guid >' is a generic collection whose element type cannot be statically confirmed as reference-bearing,https://www.revitapidocs.com/2025/742313cb-1bea-f873-e5ca-1bfac782286b.htm,zero-arg,instance,Matches evidence. Ground-truth return type: IList < Guid >.,No -- no Transaction/regeneration/document-mutation language anywhere in the page (Syntax/Parameters/Return Value/Exceptions/Remarks all read).,"VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public IList < Guid > GetEntitySchemaGuids ()`"
Element,GetExternalResourceReferenceExpanded,needs_validation,signature_verified_declared,,,return type 'IList < ExternalResourceReference >' is a generic collection whose element type cannot be statically confirmed as reference-bearing,https://www.revitapidocs.com/2025/1a28171e-8460-d849-4e7d-9a306a22cd6e.htm,1-arg -- ExternalResourceType resourceType,instance,Matches evidence. Ground-truth return type: IList < ExternalResourceReference >.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public IList < ExternalResourceReference > GetExternalResourceReferenceExpanded ( ExternalResourceType resourceType )` Documented exceptions: Exception Condition ArgumentException This Element does not use a resource reference for the specified resource type. ArgumentNullException A non-optional argument was null Remarks: Use this API for an element which has multiple external resource references under a specified type, e.g., AppearanceAssetElement. See also: [!:Autodesk::Revit::DB::Element::getExternalResourceReference] ."
Element,GetSubelements,needs_validation,signature_verified_declared,,,return type 'IList < Subelement >' is a generic collection whose element type cannot be statically confirmed as reference-bearing,https://www.revitapidocs.com/2025/feabfd59-bd0f-ab61-34a1-d0d22f58c881.htm,zero-arg,instance,Matches evidence. Ground-truth return type: IList < Subelement >.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public IList < Subelement > GetSubelements ()` Remarks: This collection will not include the Element itself."
FamilySymbol,GetFamilyPointLocations,needs_validation,signature_verified_declared,,,return type 'IList < FamilyPointLocation >' is a generic collection whose element type cannot be statically confirmed as reference-bearing,https://www.revitapidocs.com/2025/b25b0bf1-6c01-846b-8dd2-9576e629d13c.htm,zero-arg,instance,Matches evidence. Ground-truth return type: IList < FamilyPointLocation >.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public IList < FamilyPointLocation > GetFamilyPointLocations ()` Remarks: If a family symbol has point references then their locations are returned by this method, otherwise an empty collection is returned. Examples of FamilySymbol objects that contain point location are Panels and Flexible Components. **CORRECTION from the prior pass.** The prior (source-unreachable) pass inferred a `Reference reference` parameter from a WebSearch snippet describing the method's purpose, not its signature. The actual cached page shows `public IList<FamilyPointLocation> GetFamilyPointLocations ()` -- zero-arg. Moves into the clean/invocable set."
View,GetModelToProjectionTransforms,needs_validation,signature_verified_declared,,,return type 'IList < TransformWithBoundary >' is a generic collection whose element type cannot be statically confirmed as reference-bearing,https://www.revitapidocs.com/2025/593acdf3-9c82-d12a-4fc3-f15a636fd3d9.htm,zero-arg,instance,Matches evidence. Ground-truth return type: IList < TransformWithBoundary >.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public IList < TransformWithBoundary > GetModelToProjectionTransforms ()` Documented exceptions: Exception Condition InvalidOperationException The view does not return transforms. -or- The view is a perspective view. Remarks: Model space is the global 3D coordinate space in which the geometry of the model lives. View projection space is the 3D Euclidean space with a coordinate system such that X and Y are horizontal and vertical directions in the view projection plane and Z is the cross product of X and Y. Distances in the projection space are the same as would be measured on paper if the view is printed without additional scaling. Most views will return just one TransformWithBoundary . The exceptions are views with split crop regions. Split crop regions can be independently moved and therefore each region of a split crop gets its own transform and boundary. You can check if a view has split crop regions by getting the ViewCropRegionShapeManager and calling [!:ViewCropRegionShapeManager.IsSplit()] . When the view's crop region is split, many TransformWithBoundary objects will be returned. Each TransformWithBoundary corresponds to one region of the split crop. To determine which TransformWithBoundary to use when converting a model point into view projection space, first test to see which split crop region boundary contains the model point. See [!:TransformWithBoundary.GetBoundary()] ."
AppearanceAssetElement,GetRenderingAsset,unverified_reference,signature_verified_declared,,,return type 'Asset' directly names a Revit DB object type,https://www.revitapidocs.com/2025/fdf7c733-319d-d355-3dc5-4c776b8ba9e5.htm,zero-arg,instance,Matches evidence. Ground-truth return type: Asset.,"No -- no Transaction/regeneration/document-mutation language found; see Remarks/Exceptions in notes for the documented preconditions instead (those are argument-validity/applicability checks, not mutation).","VERIFIED against the actual cached Revit API doc page (source_url resolved via the local cache/ directory's .meta.json sidecar -> hash -> .htm; page fetched under RevitAPI 2025, RevitAPI.dll Version 25.0.0.0). Signature: `public Asset GetRenderingAsset ()` Remarks: The retrieved Asset may be empty if it is loaded from material library without any modification. In this case, you can use Application.GetAssets(AssetType.Appearance) to load all preset appearance assets, and retrieve the asset by its name."
