fingerprint_domain,domain_label,api_concepts,concept_count,concepts_in_semantic_core,concepts_outside_semantic_core,unresolved_concepts,mapping_status,mapping_basis,current_extractor_reference,notes
arrowheads,Arrowheads,Autodesk.Revit.DB.ElementType,1,Autodesk.Revit.DB.ElementType,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/arrowheads.py,candidate mapping only; project domain name remains authoritative
ceiling_types,Ceiling Types,Autodesk.Revit.DB.CeilingType;Autodesk.Revit.DB.CompoundStructure;Autodesk.Revit.DB.CompoundStructureLayer;Autodesk.Revit.DB.Material,4,Autodesk.Revit.DB.CeilingType;Autodesk.Revit.DB.CompoundStructure;Autodesk.Revit.DB.CompoundStructureLayer;Autodesk.Revit.DB.Material,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/compound_types.py,candidate mapping only; project domain name remains authoritative
dimension_types_angular,Dimension Types Angular,Autodesk.Revit.DB.DimensionType,1,Autodesk.Revit.DB.DimensionType,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/dimension_types.py,candidate mapping only; project domain name remains authoritative
dimension_types_diameter,Dimension Types Diameter,Autodesk.Revit.DB.DimensionType,1,Autodesk.Revit.DB.DimensionType,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/dimension_types.py,candidate mapping only; project domain name remains authoritative
dimension_types_linear,Dimension Types Linear,Autodesk.Revit.DB.DimensionType,1,Autodesk.Revit.DB.DimensionType,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/dimension_types.py,candidate mapping only; project domain name remains authoritative
dimension_types_radial,Dimension Types Radial,Autodesk.Revit.DB.DimensionType,1,Autodesk.Revit.DB.DimensionType,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/dimension_types.py,candidate mapping only; project domain name remains authoritative
dimension_types_spot_coordinate,Dimension Types Spot Coordinate,Autodesk.Revit.DB.DimensionType,1,Autodesk.Revit.DB.DimensionType,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/dimension_types.py,candidate mapping only; project domain name remains authoritative
dimension_types_spot_elevation,Dimension Types Spot Elevation,Autodesk.Revit.DB.DimensionType,1,Autodesk.Revit.DB.DimensionType,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/dimension_types.py,candidate mapping only; project domain name remains authoritative
dimension_types_spot_slope,Dimension Types Spot Slope,Autodesk.Revit.DB.DimensionType,1,Autodesk.Revit.DB.DimensionType,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/dimension_types.py,candidate mapping only; project domain name remains authoritative
fill_patterns_drafting,Fill Patterns Drafting,Autodesk.Revit.DB.FillPatternElement;Autodesk.Revit.DB.FillPattern;Autodesk.Revit.DB.FillPatternTarget,3,Autodesk.Revit.DB.FillPatternElement,Autodesk.Revit.DB.FillPattern;Autodesk.Revit.DB.FillPatternTarget,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/fill_patterns.py,candidate mapping only; project domain name remains authoritative
fill_patterns_model,Fill Patterns Model,Autodesk.Revit.DB.FillPatternElement;Autodesk.Revit.DB.FillPattern;Autodesk.Revit.DB.FillPatternTarget,3,Autodesk.Revit.DB.FillPatternElement,Autodesk.Revit.DB.FillPattern;Autodesk.Revit.DB.FillPatternTarget,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/fill_patterns.py,candidate mapping only; project domain name remains authoritative
floor_types,Floor Types,Autodesk.Revit.DB.FloorType;Autodesk.Revit.DB.CompoundStructure;Autodesk.Revit.DB.CompoundStructureLayer;Autodesk.Revit.DB.Material,4,Autodesk.Revit.DB.FloorType;Autodesk.Revit.DB.CompoundStructure;Autodesk.Revit.DB.CompoundStructureLayer;Autodesk.Revit.DB.Material,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/compound_types.py,candidate mapping only; project domain name remains authoritative
identity,Identity,Autodesk.Revit.DB.Document;Autodesk.Revit.DB.ProjectInfo,2,Autodesk.Revit.DB.ProjectInfo,Autodesk.Revit.DB.Document,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/identity.py,candidate mapping only; project domain name remains authoritative
line_patterns,Line Patterns,Autodesk.Revit.DB.LinePatternElement;Autodesk.Revit.DB.LinePattern,2,Autodesk.Revit.DB.LinePatternElement,Autodesk.Revit.DB.LinePattern,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/line_patterns.py,candidate mapping only; project domain name remains authoritative
line_styles,Line Styles,Autodesk.Revit.DB.GraphicsStyle;Autodesk.Revit.DB.Category;Autodesk.Revit.DB.LinePatternElement,3,Autodesk.Revit.DB.GraphicsStyle;Autodesk.Revit.DB.Category;Autodesk.Revit.DB.LinePatternElement,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/line_styles.py,candidate mapping only; project domain name remains authoritative
loaded_family_types,Loaded Family Types,Autodesk.Revit.DB.FamilySymbol;Autodesk.Revit.DB.Family,2,Autodesk.Revit.DB.FamilySymbol;Autodesk.Revit.DB.Family,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/loaded_family_types.py,candidate mapping only; project domain name remains authoritative
materials,Materials,Autodesk.Revit.DB.Material;Autodesk.Revit.DB.AppearanceAssetElement;Autodesk.Revit.DB.FillPatternElement,3,Autodesk.Revit.DB.Material;Autodesk.Revit.DB.AppearanceAssetElement;Autodesk.Revit.DB.FillPatternElement,,,mapped,runner domain inventory plus extractor/API semantic graph review,runner/run_dynamo.py; domains/materials.py,candidate mapping only; project domain name remains authoritative
