source,member_name,member_kind,edge_type,target,source_url,edge_discriminator,target_resolution,source_in_core_projection,target_in_core_projection,signature_verification_state,semantic_validation_state,fingerprint_relevance_state,classification,rationale,candidate_domain,candidate_relationship,recommended_follow_up,community_used_as_archetype
Autodesk.Revit.DB.AssemblyDifferenceNamingCategory,NamingCategoryId1,property,HAS_CATEGORY,Autodesk.Revit.DB.Category,https://www.revitapidocs.com/2025/a26eccfe-27f6-e78c-4889-2be7f3c8f420.htm,https://www.revitapidocs.com/2025/a26eccfe-27f6-e78c-4889-2be7f3c8f420.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.AssemblyDifferenceNamingCategory,NamingCategoryId2,property,HAS_CATEGORY,Autodesk.Revit.DB.Category,https://www.revitapidocs.com/2025/15c03cc2-ed08-eea4-498f-8f1e0ce5d7de.htm,https://www.revitapidocs.com/2025/15c03cc2-ed08-eea4-498f-8f1e0ce5d7de.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.AssemblyMemberDifferentCategory,CategoryId1,property,HAS_CATEGORY,Autodesk.Revit.DB.Category,https://www.revitapidocs.com/2025/aed40ee6-4d73-d3c0-a2f4-38cb290a0a26.htm,https://www.revitapidocs.com/2025/aed40ee6-4d73-d3c0-a2f4-38cb290a0a26.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.AssemblyMemberDifferentCategory,CategoryId2,property,HAS_CATEGORY,Autodesk.Revit.DB.Category,https://www.revitapidocs.com/2025/2f687142-fdc9-f422-c904-c7705bec7331.htm,https://www.revitapidocs.com/2025/2f687142-fdc9-f422-c904-c7705bec7331.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.BuildingPadType,ThermalProperties,property,REFERENCES,Autodesk.Revit.DB.ThermalProperties,https://www.revitapidocs.com/2025/3a6a237e-bd05-261a-a6ce-c25a02168f5b.htm,https://www.revitapidocs.com/2025/3a6a237e-bd05-261a-a6ce-c25a02168f5b.htm,exact,yes,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.Categories,NewSubcategory,method,HAS_CATEGORY,Autodesk.Revit.DB.Category,https://www.revitapidocs.com/2025/aba44eba-9882-54cb-fe52-30553a684c34.htm,https://www.revitapidocs.com/2025/aba44eba-9882-54cb-fe52-30553a684c34.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.CeilingType,ThermalProperties,property,REFERENCES,Autodesk.Revit.DB.ThermalProperties,https://www.revitapidocs.com/2025/a5ef2aa8-db6b-61a1-2c16-f4cf3fc40782.htm,https://www.revitapidocs.com/2025/a5ef2aa8-db6b-61a1-2c16-f4cf3fc40782.htm,exact,yes,no,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.ClassificationEntry,CategoryId,property,HAS_CATEGORY,Autodesk.Revit.DB.Category,https://www.revitapidocs.com/2025/0df469ce-96b5-5f05-3a04-b0a4f191c131.htm,https://www.revitapidocs.com/2025/0df469ce-96b5-5f05-3a04-b0a4f191c131.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.ColorFillSchemeEntry,FillPatternId,property,USES_FILL_PATTERN,Autodesk.Revit.DB.FillPatternElement,https://www.revitapidocs.com/2025/60eb8528-0a4b-e71a-a420-41ec39d020ae.htm,https://www.revitapidocs.com/2025/60eb8528-0a4b-e71a-a420-41ec39d020ae.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
Autodesk.Revit.DB.ContourSettingItem,SubCategoryId,property,HAS_CATEGORY,Autodesk.Revit.DB.Category,https://www.revitapidocs.com/2025/2c7e4a5b-52d2-b2e3-f575-de87d6c6b2c2.htm,https://www.revitapidocs.com/2025/2c7e4a5b-52d2-b2e3-f575-de87d6c6b2c2.htm,exact,no,yes,signature_verified_declared,not_validated,candidate_relevant,core_projection_drops_useful_fingerprint_concept,Excluded from current projection by semantic node filter; signature evidence is not treated as semantic validation. Source URL/edge discriminator preserves overloaded graph-edge identity.,current_or_future_domain,candidate supporting or dependency edge,Review if future relational fingerprint PR expands semantic node set.,no
