relative_path,filename,extension,category,size_bytes,text_or_binary,line_count,sha256,included,exclusion_reason,chunked,parse_status,generated_or_vendor
.agents/skills/graphify/.graphify_version,.graphify_version,,unsupported_text,6,text,1,1b371a55741437174f9e257417d9fd26e47222b47e9dee4bcb9560e5374f8099,true,,false,n/a,no
.agents/skills/graphify/SKILL.md,SKILL.md,.md,documentation,32639,text,612,9c6c09f7db06bb1c5c012e2957bbbc009a82d19087ae5431d7dc14ca920c7f1c,true,,false,n/a,generated
.agents/skills/graphify/references/add-watch.md,add-watch.md,.md,documentation,2457,text,56,ec787daaf6ec535e0f6aaef5d8b58de6aabcd1c491909b98fdc9ee0c88160300,true,,false,n/a,no
.agents/skills/graphify/references/exports.md,exports.md,.md,documentation,2163,text,71,60926c87a5e94aeb3bccc97d983f2e68c6804088326b5e9ec07f6a844a723170,true,,false,n/a,no
.agents/skills/graphify/references/extraction-spec.md,extraction-spec.md,.md,documentation,4099,text,29,1b6b6f22b298cd66975975105b8e723631d002595b91ee657c4bff5da2241428,true,,false,n/a,no
.agents/skills/graphify/references/github-and-merge.md,github-and-merge.md,.md,documentation,2177,text,46,e5ebd90c7686f50363ff7a535556bc2f596d4c47ec1e6c8b95e11e36a0dfea2b,true,,false,n/a,no
.agents/skills/graphify/references/hooks.md,hooks.md,.md,documentation,1267,text,33,b9a4e9f66813c6fc720589f1071d1a03c95756ab7101447e14e57291fe7844e5,true,,false,n/a,no
.agents/skills/graphify/references/query.md,query.md,.md,documentation,9076,text,249,04c60762b9398e707329073dc0ea78dedd33e12a39fcd5fbd07f0f963a9b677c,true,,false,n/a,no
.agents/skills/graphify/references/transcribe.md,transcribe.md,.md,documentation,2652,text,48,6b81f8dcff4d11aa69859dfda473a03b144a9b1fe63303f927b061e70d167439,true,,false,n/a,no
.agents/skills/graphify/references/update.md,update.md,.md,documentation,7139,text,174,e8a71e46dccabb7d9f3e993b505a0a3296c4e69eadb379867786374d56127162,true,,false,n/a,no
.claude/hooks/session-start.sh,session-start.sh,.sh,script_shell,608,text,17,e49750e62e7009aa25095d6c081ab46a62322159229f27e845f2b8d7c1ba2f43,true,,false,n/a,no
.claude/settings.json,settings.json,.json,data,2220,text,34,ae6b53113a44b3b2e2d963a4761b9ad1fbe4a9ca0d1281352f1db3d5b1ffa36f,true,,false,n/a,no
.codex/README.md,README.md,.md,documentation,793,text,20,9652b3de8c959e065454b479de3b6df1b5a4ec181c22f9ec5964ff4a85c62d6f,true,,false,n/a,no
.codex/hook-check.sh,hook-check.sh,.sh,script_shell,457,text,17,93bcf301f80792177e35f02142a77a70830e681d6b96238f163fbd3da745297b,true,,false,n/a,no
.codex/hooks.json,hooks.json,.json,data,220,text,15,4af319a3e6329089b09250ada263a6e8134befeccefd4970c01cca9fd8990dc5,true,,false,n/a,no
.codex/setup.sh,setup.sh,.sh,script_shell,662,text,23,42465658ce2219d409f71cf91592c557d3f40d4db8fa91e3fa6ff0904b4618e7,true,,false,n/a,no
.copilot/skills/graphify/.graphify_version,.graphify_version,,unsupported_text,6,text,1,1b371a55741437174f9e257417d9fd26e47222b47e9dee4bcb9560e5374f8099,true,,false,n/a,no
.copilot/skills/graphify/SKILL.md,SKILL.md,.md,documentation,32544,text,615,b348365c7b39e8a79e9c87cd8264f6fb81a0983050e37dc7592523b404d938dc,true,,false,n/a,generated
.copilot/skills/graphify/references/add-watch.md,add-watch.md,.md,documentation,2457,text,56,ec787daaf6ec535e0f6aaef5d8b58de6aabcd1c491909b98fdc9ee0c88160300,true,,false,n/a,no
.copilot/skills/graphify/references/exports.md,exports.md,.md,documentation,2163,text,71,60926c87a5e94aeb3bccc97d983f2e68c6804088326b5e9ec07f6a844a723170,true,,false,n/a,no
.copilot/skills/graphify/references/extraction-spec.md,extraction-spec.md,.md,documentation,7161,text,68,f1ba3f828441daef1fc110b8040219d0135444b2761537bd63aa7d0e02608d1d,true,,false,n/a,no
