caller_file,caller_symbol,line,call_expression,callee_simple_name,candidate_file,candidate_symbol,confidence,explanation
core/canon.py,canon_str,54,safe_str,safe_str,core/hashing.py,safe_str,medium,resolved via unambiguous import binding 'safe_str'
core/canon.py,canon_str,61,s.strip,strip,,,unresolved,'s' is shadowed by a parameter or local variable in the enclosing scope
core/canon.py,canon_bool,83,isinstance,isinstance,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_bool,85,isinstance,isinstance,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_num,102,float,float,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_num,103,format,format,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_num,103,int,int,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_id,123,getattr,getattr,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_id,125,int,int,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_id,125,str,str,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_id,130,isinstance,isinstance,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_id,131,str,str,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_id,132,isinstance,isinstance,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_id,133,v.strip,strip,,,unresolved,'v' is shadowed by a parameter or local variable in the enclosing scope
core/canon.py,canon_id,136,int,int,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_id,136,str,str,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_id,137,int,int,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,canon_id,137,str,str,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,fnum,148,canon_num,canon_num,core/canon.py,canon_num,high,direct call to a function defined in the same module
core/canon.py,rgb_sig_from_color,156,"'{},{},{}'.format",format,,,unresolved,dynamic or unsupported call expression; not statically resolvable
core/canon.py,rgb_sig_from_color,156,int,int,,,unresolved,name not defined in this module and not bound via a resolvable import
core/canon.py,rgb_sig_from_color,156,int,int,,,unresolved,name not defined in this module and not bound via a resolvable import
