source_file,source_module,line,import_type,imported_module,imported_name,alias,level,resolved_file,resolution_status
core/canon.py,core.canon,15,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/canon.py,core.canon,17,from_import,typing,Any,,0,,unresolved_external_or_missing
core/canon.py,core.canon,17,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/canon.py,core.canon,19,from_import,hashing,safe_str,,1,core/hashing.py,resolved
core/canonical_items.py,core.canonical_items,12,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/canonical_items.py,core.canonical_items,14,from_import,typing,Any,,0,,unresolved_external_or_missing
core/canonical_items.py,core.canonical_items,14,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/canonical_items.py,core.canonical_items,14,from_import,typing,Iterable,,0,,unresolved_external_or_missing
core/canonical_items.py,core.canonical_items,14,from_import,typing,List,,0,,unresolved_external_or_missing
core/canonical_items.py,core.canonical_items,14,from_import,typing,Mapping,,0,,unresolved_external_or_missing
core/canonical_items.py,core.canonical_items,14,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/canonical_items.py,core.canonical_items,14,from_import,typing,Sequence,,0,,unresolved_external_or_missing
core/canonical_items.py,core.canonical_items,14,from_import,typing,Tuple,,0,,unresolved_external_or_missing
core/collect.py,core.collect,17,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/collect.py,core.collect,19,from_import,dataclasses,dataclass,,0,,unresolved_external_or_missing
core/collect.py,core.collect,19,from_import,dataclasses,field,,0,,unresolved_external_or_missing
core/collect.py,core.collect,20,from_import,typing,Any,,0,,unresolved_external_or_missing
core/collect.py,core.collect,20,from_import,typing,Callable,,0,,unresolved_external_or_missing
core/collect.py,core.collect,20,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/collect.py,core.collect,20,from_import,typing,Iterable,,0,,unresolved_external_or_missing
core/collect.py,core.collect,20,from_import,typing,List,,0,,unresolved_external_or_missing
core/collect.py,core.collect,20,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/collect.py,core.collect,20,from_import,typing,Tuple,,0,,unresolved_external_or_missing
core/collect.py,core.collect,20,from_import,typing,Union,,0,,unresolved_external_or_missing
core/collect.py,core.collect,23,from_import,Autodesk.Revit.DB,BuiltInParameter,,0,,unresolved_external_or_missing
core/collect.py,core.collect,23,from_import,Autodesk.Revit.DB,ElementId,,0,,unresolved_external_or_missing
core/collect.py,core.collect,23,from_import,Autodesk.Revit.DB,FilteredElementCollector,,0,,unresolved_external_or_missing
core/collect.py,core.collect,441,import,System.Collections.Generic,,_scg,0,,unresolved_external_or_missing
core/context.py,core.context,14,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/context.py,core.context,16,from_import,dataclasses,dataclass,,0,,unresolved_external_or_missing
core/context.py,core.context,17,from_import,typing,Any,,0,,unresolved_external_or_missing
core/context.py,core.context,17,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/context.py,core.context,17,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/context.py,core.context,17,from_import,typing,Tuple,,0,,unresolved_external_or_missing
core/context.py,core.context,19,from_import,core.canon,S_MISSING,,0,core/canon.py,resolved
core/context.py,core.context,19,from_import,core.canon,S_NOT_APPLICABLE,,0,core/canon.py,resolved
core/context.py,core.context,19,from_import,core.canon,S_UNREADABLE,,0,core/canon.py,resolved
core/context.py,core.context,19,from_import,core.canon,canon_id,,0,core/canon.py,resolved
core/context.py,core.context,19,from_import,core.canon,canon_str,,0,core/canon.py,resolved
core/context.py,core.context,22,from_import,Autodesk.Revit.DB,BuiltInParameter,,0,,unresolved_external_or_missing
core/contracts.py,core.contracts,13,from_import,__future__,annotations,,0,,unresolved_external_or_missing
