relative_path,qualified_name,symbol_type,start_line,end_line,parent_symbol,decorators,parameters,base_classes,return_annotation,has_docstring,docstring_first_line,line_count,complexity_approx,nested_symbols
core/__init__.py,<module>,module,1,7,,,,,,true,Core utilities package (pure Python + minimal Revit-aware helpers).,7,1,
core/canon.py,<module>,module,1,171,,,,,,true,"Core canonicalization and formatting utilities (pure Python, no Revit API).",171,1,"is_sentinel,canon_str,canon_bool,canon_num,canon_id,fnum,rgb_sig_from_color,rgb_dict_from_color"
core/canon.py,is_sentinel,function,33,34,<module>,,v: Any,,bool,false,,2,1,
core/canon.py,canon_str,function,41,70,<module>,,v: Any,,str,true,Canonicalize string-like values.,30,8,
core/canon.py,canon_bool,function,73,90,<module>,,v: Any,,str,true,Canonicalize booleans.,18,6,
core/canon.py,canon_num,function,93,105,<module>,,"v: Any, nd: int = 9",,str,true,Canonicalize numbers to a fixed decimal string.,13,4,
core/canon.py,canon_id,function,108,139,<module>,,v: Any,,str,true,Canonicalize Revit ElementId-like values to a decimal string.,32,10,
core/canon.py,fnum,function,146,148,<module>,,"v: Any, nd: int",,str,true,Legacy alias for canon_num.,3,1,
core/canon.py,rgb_sig_from_color,function,151,158,<module>,,col: Any,,str,true,Create RGB signature string from a Revit Color object.,8,4,
core/canon.py,rgb_dict_from_color,function,161,171,<module>,,col: Any,,Optional[dict],true,Create RGB dict from a Revit Color object.,11,4,
core/canonical_items.py,<module>,module,1,151,,,,,,true,Canonical flat-item helpers.,151,1,"_normalize_item,build_flat_items,merge_legacy_buckets,compile_role_policy,resolve_item_roles,canonicalize_record"
core/canonical_items.py,_normalize_item,function,26,32,<module>,,item: Any,,"Optional[Dict[str, Any]]",false,,7,4,
core/canonical_items.py,build_flat_items,function,35,55,<module>,,"*item_groups: Iterable[Dict[str, Any]]",,"List[Dict[str, Any]]",true,Build canonical flat items preserving first-seen key authority.,21,6,
core/canonical_items.py,merge_legacy_buckets,function,58,69,<module>,,"phase2_payload: Mapping[str, Any]",,"Dict[str, List[Dict[str, Any]]]",true,Convert legacy phase2 bucket payload into canonical flat items envelope.,12,4,
core/canonical_items.py,compile_role_policy,function,72,104,<module>,,"policy: Mapping[str, Any], *, domain: Optional[str] = None",,"Dict[str, str]",true,Compile policy to key->role lookup map.,33,20,
core/canonical_items.py,resolve_item_roles,function,107,127,<module>,,"items: Sequence[Mapping[str, Any]], role_lookup: Mapping[str, str]",,"Dict[str, List[Dict[str, Any]]]",true,Resolve roles from item.k via runtime lookup.,21,5,
core/canonical_items.py,canonicalize_record,function,130,151,<module>,,"record: Mapping[str, Any]",,"Dict[str, Any]",true,Canonicalize a record to flat `items` shape and remove legacy/derived keys.,22,4,
core/collect.py,<module>,module,1,595,,,,,,true,core/collect.py,595,3,"CollectCtx,_is_invalid_element_id,_safe_unique_id,_make_query_key,_require_revit_api,_collect_id_ints_uncached,collect_id_ints,_get_element,collect_elements,collect_types,collect_instances,build_purgeable_id_set,purge_lookup,build_subcategory_used_id_set,is_type_purgeable"
core/collect.py,CollectCtx,class,34,51,<module>,dataclass,,,,true,Per-run collection context.,18,1,inc
core/collect.py,CollectCtx.inc,method,46,51,CollectCtx,,"self, key: str, n: int = 1",,None,false,,6,3,
core/collect.py,_is_invalid_element_id,function,54,83,<module>,,elem_id: Any,,bool,true,Returns True if elem_id is missing/invalid.,30,11,
core/collect.py,_safe_unique_id,function,86,94,<module>,,elem: Any,,Optional[str],false,,9,4,
core/collect.py,_make_query_key,function,97,123,<module>,,"*, kind: str, of_class: Any, of_category: Any, where_key: Optional[CacheKey], require_unique_id: bool",,"Tuple[Any, ...]",true,"Cache key must be based on semantic query intent, not object reprs that can drift.",27,6,
core/collect.py,_require_revit_api,function,126,128,<module>,,,,None,false,,3,2,
core/collect.py,_collect_id_ints_uncached,function,131,235,<module>,,"doc: Any, *, kind: str, of_class: Any = None, of_category: Any = None, where: Optional[Callable[[Any], bool]] = None, require_unique_id: bool = False, cctx: Optional[CollectCtx] = None",,List[int],true,Execute a collection query without caching and return ElementId.IntegerValue list.,105,36,
core/collect.py,collect_id_ints,function,238,309,<module>,,"doc: Any, *, kind: str, of_class: Any = None, of_category: Any = None, where: Optional[Callable[[Any], bool]] = None, where_key: Optional[CacheKey] = None, require_unique_id: bool = False, cctx: Optional[CollectCtx] = None, cache_key: Optional[CacheKey] = None",,List[int],true,Cached collector entry point returning ElementId.IntegerValue list.,72,6,
core/collect.py,_get_element,function,312,321,<module>,,"doc: Any, id_int: int",,Any,false,,10,5,
core/collect.py,collect_elements,function,324,359,<module>,,"doc: Any, *, kind: str, of_class: Any = None, of_category: Any = None, where: Optional[Callable[[Any], bool]] = None, where_key: Optional[CacheKey] = None, require_unique_id: bool = False, cctx: Optional[CollectCtx] = None, cache_key: Optional[CacheKey] = None",,List[Any],true,Cached collector returning live elements (resolved from cached id_int list).,36,4,
core/collect.py,collect_types,function,362,383,<module>,,"doc: Any, *, of_class: Any = None, of_category: Any = None, where: Optional[Callable[[Any], bool]] = None, where_key: Optional[CacheKey] = None, require_unique_id: bool = False, cctx: Optional[CollectCtx] = None, cache_key: Optional[CacheKey] = None",,List[Any],false,,22,1,
