archetype_id,governance_question,approach_label,signal_ids,cluster_ids
CANDIDATE__arrowhead_consistency__dimension_types_linear_tick_mark_arrowheads__text_types_leader_arrowhead_arrowheads,arrowhead_consistency,Dimension/Text Arrowhead Standard,dimension_types_linear.tick_mark__arrowheads | text_types.leader_arrowhead__arrowheads,arrowhead_consistency__cluster_001
CANDIDATE__line_pattern_usage__line_styles_pattern_ref_line_patterns__object_styles_annotation_pattern_ref_line_patterns,line_pattern_usage,Line Pattern Standard,line_styles.pattern_ref__line_patterns | object_styles_annotation.pattern_ref__line_patterns,line_pattern_usage__cluster_001
CANDIDATE__line_pattern_usage__line_styles_pattern_ref_line_patterns__object_styles_model_pattern_ref_line_patterns,line_pattern_usage,Line Pattern Standard,line_styles.pattern_ref__line_patterns | object_styles_model.pattern_ref__line_patterns,line_pattern_usage__cluster_001
CANDIDATE__fill_pattern_usage__materials_cut_background_pattern_fill_patterns_drafting__materials_surface_foreground_pattern_fill_patterns_drafting,fill_pattern_usage,Material Background + Foreground Fill Pattern Standard,materials.cut_background_pattern__fill_patterns_drafting | materials.surface_foreground_pattern__fill_patterns_drafting,fill_pattern_usage__cluster_001 | fill_pattern_usage__cluster_002
CANDIDATE__fill_pattern_usage__materials_cut_foreground_pattern_fill_patterns_drafting__materials_surface_foreground_pattern_fill_patterns_drafting,fill_pattern_usage,Material Foreground Fill Pattern Standard,materials.cut_foreground_pattern__fill_patterns_drafting | materials.surface_foreground_pattern__fill_patterns_drafting,fill_pattern_usage__cluster_001
CANDIDATE__line_pattern_usage__object_styles_annotation_pattern_ref_line_patterns__object_styles_model_pattern_ref_line_patterns,line_pattern_usage,Line Pattern Standard,object_styles_annotation.pattern_ref__line_patterns | object_styles_model.pattern_ref__line_patterns,line_pattern_usage__cluster_001
CANDIDATE__line_pattern_usage__object_styles_annotation_pattern_ref_line_patterns__view_category_overrides_annotation_baseline_object_styles_annotation,line_pattern_usage,Line Pattern + Annotation Category Override Standard,object_styles_annotation.pattern_ref__line_patterns | view_category_overrides_annotation.baseline__object_styles_annotation,line_pattern_usage__cluster_001 | line_pattern_usage__cluster_002
CANDIDATE__line_pattern_usage__object_styles_model_pattern_ref_line_patterns__view_category_overrides_model_baseline_object_styles_model,line_pattern_usage,Line Pattern + Model Category Override Standard,object_styles_model.pattern_ref__line_patterns | view_category_overrides_model.baseline__object_styles_model,line_pattern_usage__cluster_001 | line_pattern_usage__cluster_003
CANDIDATE__unknown__vfd_ceiling_types_all_model_family_name_1002002__vfd_ceiling_types_all_model_type_name_1002001,view_filter_strategy,Ceiling Type/Uniformat View Filter Bundle,vfd__ceiling_types.all_model_family_name__1002002 | vfd__ceiling_types.all_model_type_name__1002001,view_filter_strategy__cluster_003
CANDIDATE__unknown__vfd_ceiling_types_all_model_family_name_1002002__vfd_ceiling_types_uniformat_code_1002500,view_filter_strategy,Ceiling Type/Uniformat View Filter Bundle,vfd__ceiling_types.all_model_family_name__1002002 | vfd__ceiling_types.uniformat_code__1002500,view_filter_strategy__cluster_003
