member,domain_count,domain,key_kind,key,example_display,run_count
AssemblyInstanceId,20,arrowheads,reflection,refl.ArrowheadType.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,browser_organization,reflection,refl.BrowserOrganization.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,ceiling_types,reflection,refl.CeilingType.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,fill_patterns,reflection,refl.FillPatternElement.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,floor_types,reflection,refl.FloorType.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,identity,reflection,refl.ProjectInformation.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,line_patterns,reflection,refl.LinePatternElement.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,line_styles,reflection,refl.GraphicsStyle.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,loaded_family_types,reflection,refl.FamilySymbol.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,materials,reflection,refl.AppearanceAssetElement.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,materials,reflection,refl.Material.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,phase_filters,reflection,refl.PhaseFilter.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,phase_graphics,reflection,refl.View.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,phases,reflection,refl.Phase.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,roof_types,reflection,refl.RoofType.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,text_types,reflection,refl.TextNoteType.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,view_filter_applications,reflection,refl.ParameterFilterElement.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,view_filter_definitions,reflection,refl.ParameterFilterElement.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,view_templates,reflection,refl.View.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,views,reflection,refl.View.AssemblyInstanceId,-1,1
AssemblyInstanceId,20,wall_types,reflection,refl.WallType.AssemblyInstanceId,-1,1
GetTypeId,20,arrowheads,reflection,refl.ArrowheadType.GetTypeId,-1,1
GetTypeId,20,browser_organization,reflection,refl.BrowserOrganization.GetTypeId,-1,1
GetTypeId,20,ceiling_types,reflection,refl.CeilingType.GetTypeId,-1,1
GetTypeId,20,fill_patterns,reflection,refl.FillPatternElement.GetTypeId,-1,1
GetTypeId,20,floor_types,reflection,refl.FloorType.GetTypeId,-1,1
GetTypeId,20,identity,reflection,refl.ProjectInformation.GetTypeId,-1,1
GetTypeId,20,line_patterns,reflection,refl.LinePatternElement.GetTypeId,-1,1
GetTypeId,20,line_styles,reflection,refl.GraphicsStyle.GetTypeId,-1,1
GetTypeId,20,loaded_family_types,reflection,refl.FamilySymbol.GetTypeId,-1,1
GetTypeId,20,materials,reflection,refl.AppearanceAssetElement.GetTypeId,-1,1
GetTypeId,20,materials,reflection,refl.Material.GetTypeId,-1,1
GetTypeId,20,phase_filters,reflection,refl.PhaseFilter.GetTypeId,-1,1
GetTypeId,20,phase_graphics,reflection,refl.View.GetTypeId,-1,1
GetTypeId,20,phases,reflection,refl.Phase.GetTypeId,-1,1
GetTypeId,20,roof_types,reflection,refl.RoofType.GetTypeId,-1,1
GetTypeId,20,text_types,reflection,refl.TextNoteType.GetTypeId,-1,1
GetTypeId,20,view_filter_applications,reflection,refl.ParameterFilterElement.GetTypeId,-1,1
GetTypeId,20,view_filter_definitions,reflection,refl.ParameterFilterElement.GetTypeId,-1,1
GetTypeId,20,view_templates,reflection,refl.View.GetTypeId,-1,1
GetTypeId,20,views,reflection,refl.View.GetTypeId,146934,1
GetTypeId,20,wall_types,reflection,refl.WallType.GetTypeId,-1,1
GroupId,20,arrowheads,reflection,refl.ArrowheadType.GroupId,-1,1
GroupId,20,browser_organization,reflection,refl.BrowserOrganization.GroupId,-1,1
GroupId,20,ceiling_types,reflection,refl.CeilingType.GroupId,-1,1
GroupId,20,fill_patterns,reflection,refl.FillPatternElement.GroupId,-1,1
GroupId,20,floor_types,reflection,refl.FloorType.GroupId,-1,1
GroupId,20,identity,reflection,refl.ProjectInformation.GroupId,-1,1
GroupId,20,line_patterns,reflection,refl.LinePatternElement.GroupId,-1,1
GroupId,20,line_styles,reflection,refl.GraphicsStyle.GroupId,-1,1
GroupId,20,loaded_family_types,reflection,refl.FamilySymbol.GroupId,-1,1
GroupId,20,materials,reflection,refl.AppearanceAssetElement.GroupId,-1,1
GroupId,20,materials,reflection,refl.Material.GroupId,-1,1
GroupId,20,phase_filters,reflection,refl.PhaseFilter.GroupId,-1,1
GroupId,20,phase_graphics,reflection,refl.View.GroupId,-1,1
