domain,column,rows_in_domain,present_count,present_rate,non_null_count,null_count,resolution_rate,value_types,unique_value_count,unique_value_count_capped,example,revit_versions_seen,first_seen,last_seen,run_count,source_files
arrowheads,arrowhead.name,53,53,100.0%,53,0,100.0%,str,43,False,"Diagonal 1/16""",2025,2026-08-04T14:03:14.300203,2026-08-04T14:48:57.764674,3,probes_2025_20260804T140314-c44dde.json;probes_2025_20260804T144211-baf6e6.json;probes_2025_20260804T144857-a65442.json
arrowheads,arrowhead.resolved,53,53,100.0%,53,0,100.0%,bool,1,False,True,2025,2026-08-04T14:03:14.300203,2026-08-04T14:48:57.764674,3,probes_2025_20260804T140314-c44dde.json;probes_2025_20260804T144211-baf6e6.json;probes_2025_20260804T144857-a65442.json
arrowheads,arrowhead.type_id,53,53,100.0%,53,0,100.0%,int,50,False,185270,2025,2026-08-04T14:03:14.300203,2026-08-04T14:48:57.764674,3,probes_2025_20260804T140314-c44dde.json;probes_2025_20260804T144211-baf6e6.json;probes_2025_20260804T144857-a65442.json
arrowheads,arrowhead.workset_id,53,53,100.0%,53,0,100.0%,int,1,False,32,2025,2026-08-04T14:03:14.300203,2026-08-04T14:48:57.764674,3,probes_2025_20260804T140314-c44dde.json;probes_2025_20260804T144211-baf6e6.json;probes_2025_20260804T144857-a65442.json
arrowheads,arrowhead.workset_name,53,53,100.0%,53,0,100.0%,str,1,False,Arrowhead Styles,2025,2026-08-04T14:03:14.300203,2026-08-04T14:48:57.764674,3,probes_2025_20260804T140314-c44dde.json;probes_2025_20260804T144211-baf6e6.json;probes_2025_20260804T144857-a65442.json
arrowheads,dim_type.id,53,53,100.0%,53,0,100.0%,int,50,False,16,2025,2026-08-04T14:03:14.300203,2026-08-04T14:48:57.764674,3,probes_2025_20260804T140314-c44dde.json;probes_2025_20260804T144211-baf6e6.json;probes_2025_20260804T144857-a65442.json
arrowheads,dim_type.name,53,53,100.0%,53,0,100.0%,str,47,False,Ryan Linear,2025,2026-08-04T14:03:14.300203,2026-08-04T14:48:57.764674,3,probes_2025_20260804T140314-c44dde.json;probes_2025_20260804T144211-baf6e6.json;probes_2025_20260804T144857-a65442.json
arrowheads,tick_param,53,53,100.0%,53,0,100.0%,dict,50,False,"{'display': 'Diagonal 1/16""', 'norm': 185270, 'q': 'ok', 'raw': 185270, 'storage': 'ElementId'}",2025,2026-08-04T14:03:14.300203,2026-08-04T14:48:57.764674,3,probes_2025_20260804T140314-c44dde.json;probes_2025_20260804T144211-baf6e6.json;probes_2025_20260804T144857-a65442.json
arrowheads,tick_param.matched_name,53,53,100.0%,53,0,100.0%,str,1,False,Tick Mark,2025,2026-08-04T14:03:14.300203,2026-08-04T14:48:57.764674,3,probes_2025_20260804T140314-c44dde.json;probes_2025_20260804T144211-baf6e6.json;probes_2025_20260804T144857-a65442.json
browser_organization,bip_label,18,18,100.0%,4,14,22.2%,NoneType;str,2,False,Family and Type,2025,2026-08-04T14:03:14.300203,2026-08-04T14:48:57.764674,3,probes_2025_20260804T140314-c44dde.json;probes_2025_20260804T144211-baf6e6.json;probes_2025_20260804T144857-a65442.json
