domain,key_kind,key,member_kind,type_label,storage_types,q_counts,unique_value_count,example_q,example_storage,example_raw,example_display,example_norm,first_seen_date,last_seen_date,run_count,source_files
arrowheads,param,p.Arrow Closed,,,Integer,missing=0;ok=12;unreadable=0;unsupported=0,0,ok,Integer,0,No,0,2026-02-04,2026-02-04,1,probe_arrowheads_2026-02-04.json
arrowheads,param,p.Arrow Style,,,Integer,missing=0;ok=12;unreadable=0;unsupported=0,0,ok,Integer,0,Diagonal,0,2026-02-04,2026-02-04,1,probe_arrowheads_2026-02-04.json
arrowheads,param,p.Arrow Width Angle,,,Double,missing=0;ok=12;unreadable=0;unsupported=0,0,ok,Double,0.5235987755982984,30.000000000000°,30.0,2026-02-04,2026-02-04,1,probe_arrowheads_2026-02-04.json
arrowheads,param,p.Fill Tick,,,Integer,missing=0;ok=12;unreadable=0;unsupported=0,0,ok,Integer,0,No,0,2026-02-04,2026-02-04,1,probe_arrowheads_2026-02-04.json
arrowheads,param,p.Heavy End Pen Weight,,,Integer,missing=0;ok=12;unreadable=0;unsupported=0,0,ok,Integer,5,5,5,2026-02-04,2026-02-04,1,probe_arrowheads_2026-02-04.json
arrowheads,param,p.Tick Mark Centered,,,Integer,missing=0;ok=12;unreadable=0;unsupported=0,0,ok,Integer,0,No,0,2026-02-04,2026-02-04,1,probe_arrowheads_2026-02-04.json
arrowheads,param,p.Tick Size,,,Double,missing=0;ok=12;unreadable=0;unsupported=0,0,ok,Double,0.0013020833333333333,"1/64""",0.0013020833333333333,2026-02-04,2026-02-04,1,probe_arrowheads_2026-02-04.json
dimension_types,param,p.Alternate Units,,,Integer,missing=0;ok=2;unreadable=0;unsupported=0,2,ok,Integer,0,None,0,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Alternate Units Format,,,None,missing=0;ok=0;unreadable=0;unsupported=2,2,unsupported,None,,,,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Alternate Units Prefix,,,String,missing=0;ok=2;unreadable=0;unsupported=0,2,ok,String,,,,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Alternate Units Suffix,,,String,missing=0;ok=2;unreadable=0;unsupported=0,2,ok,String,,,,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Bold,,,Integer,missing=0;ok=2;unreadable=0;unsupported=0,2,ok,Integer,0,No,0,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Bottom Coordinate,,,Integer,missing=0;ok=2;unreadable=0;unsupported=0,2,ok,Integer,2,East / West,2,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Bottom Indicator,,,String,missing=0;ok=2;unreadable=0;unsupported=0,2,ok,String,BOTTOM=,BOTTOM=,BOTTOM=,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Bottom Indicator as Prefix/Suffix,,,Integer,missing=0;ok=2;unreadable=0;unsupported=0,2,ok,Integer,0,Prefix,0,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Center Mark Size,,,Double,missing=0;ok=5;unreadable=0;unsupported=0,5,ok,Double,0.00781266404199475,"3/32""",0.00781266404199475,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Center Marks,,,Integer,missing=0;ok=4;unreadable=0;unsupported=0,4,ok,Integer,1,Yes,1,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Centerline Pattern,,,ElementId,missing=0;ok=5;unreadable=0;unsupported=0,5,ok,ElementId,-3000010,-3000010,-3000010,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Centerline Symbol,,,ElementId,missing=0;ok=3;unreadable=0;unsupported=0,3,ok,ElementId,18922,Sym-Centerline-Stn,18922,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Centerline Tick Mark,,,ElementId,missing=0;ok=5;unreadable=0;unsupported=0,5,ok,ElementId,-2,-2,-2,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Color,,,Integer,missing=0;ok=5;unreadable=0;unsupported=0,5,ok,Integer,0,0,0,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
dimension_types,param,p.Coordinate Base,,,Integer,missing=0;ok=3;unreadable=0;unsupported=0,3,ok,Integer,1,Survey Point,1,2026-02-04,2026-03-19,2,probe_dimension_types_2026-02-04.json;probe_dimension_types_2026-03-19.json
